tick;traderType;traderName;bidType;offeredPrice;clearedPrice;offeredQuantity;assignedQuantity
-91;FlexPowerplant2;FRIEDENSBRUCKE CC-1;EnergySupplyMustRun;-44,3;25,61;3,5;3,5;
-91;FlexPowerplant2;MUNCHEN SUD-6;EnergySupplyMustRun;-43,62;25,61;16,5;16,5;
-91;FlexPowerplant2;FRANKFURT ODER;EnergySupplyMustRun;-43,56;25,61;4;4;
-91;FlexPowerplant2;FRIEDENSBRUCKE CC-2;EnergySupplyMustRun;-42,23;25,61;2,75;2,75;
-91;FlexPowerplant2;FRIEDRICHSTRASSE NEW GT 1;EnergySupplyMustRun;-39,92;25,61;2;2;
-91;FlexPowerplant2;OBERHAUSEN GT 1;EnergySupplyMustRun;-39,92;25,61;2;2;
-91;FlexPowerplant2;KASSEL KOMBI-2;EnergySupplyMustRun;-37,39;25,61;1,5;1,5;
-91;FlexPowerplant2;DESSAU GT 1;EnergySupplyMustRun;-35,59;25,61;1,25;1,25;
-91;FlexPowerplant2;GERSTEINWERK G;EnergySupplyMustRun;-10,21;25,61;45,75;45,75;
-91;FlexPowerplant2;HERRENHAUSEN-II NO 1;EnergySupplyMustRun;-2,33;25,61;12,5;12,5;
-91;FlexPowerplant2;FRANKEN-I NO 2;EnergySupplyMustRun;2,92;25,61;55;55;
-91;FlexPowerplant2;LAUSWARD E;EnergySupplyMustRun;2,92;25,61;37,5;37,5;
-91;FlexPowerplant2;NEURATH F;EnergySupply;20,75;25,61;84;84;
-91;FlexPowerplant2;NEURATH G;EnergySupply;20,75;25,61;84;84;
-91;FlexPowerplant2;BOXBERG R;EnergySupply;20,8;25,61;50,75;50,75;
-91;FlexPowerplant2;NIEDERAUSSEM K;EnergySupply;21,3;25,61;76;76;
-91;FlexPowerplant2;LIPPENDORF R;EnergySupply;21,58;25,61;70;70;
-91;FlexPowerplant2;COTTBUS CHP S1;EnergySupply;21,58;25,61;3,5;3,5;
-91;FlexPowerplant2;COTTBUS CHP S2;EnergySupply;21,58;25,61;1,25;1,25;
-91;FlexPowerplant2;LIPPENDORF S;EnergySupply;21,63;25,61;70;70;
-91;FlexPowerplant2;BOXBERG Q;EnergySupply;21,63;25,61;68;68;
-91;FlexPowerplant2;SCHKOPAU-II A;EnergySupply;21,87;25,61;36;36;
-91;FlexPowerplant2;SCHKOPAU-II B;EnergySupply;21,87;25,61;36;36;
-91;FlexPowerplant2;SCHWARZE PUMPE A;EnergySupply;21,97;25,61;60;60;
-91;FlexPowerplant2;SCHWARZE PUMPE B;EnergySupply;22,02;25,61;60;60;
-91;FlexPowerplant2;DESSAU S1;EnergySupply;22,38;25,61;1,25;1,25;
-91;FlexPowerplant2;DESSAU S2;EnergySupply;22,38;25,61;1,25;1,25;
-91;FlexPowerplant2;CHEMNITZ NORD-II NO 3;EnergySupply;22,64;25,61;2,75;2,75;
-91;FlexPowerplant2;GOLDENBERG K;EnergySupply;22,75;25,61;6,5;6,5;
-91;FlexPowerplant2;UMMELN GT 1;EnergySupplyMustRun;23;25,61;7,5;7,5;
-91;FlexPowerplant2;JANSCHWALDE D;EnergySupply;23,02;25,61;37,5;37,5;
-91;FlexPowerplant2;KLINGENBERG 5;EnergySupply;23,02;25,61;2,25;2,25;
-91;FlexPowerplant2;KLINGENBERG 6;EnergySupply;23,02;25,61;2,25;2,25;
-91;FlexPowerplant2;JANSCHWALDE E;EnergySupply;23,13;25,61;37,5;37,5;
-91;FlexPowerplant2;JANSCHWALDE F;EnergySupply;23,13;25,61;37,5;37,5;
-91;FlexPowerplant2;CHEMNITZ NORD-II NO 2;EnergySupply;23,13;25,61;2,5;2,5;
-91;FlexPowerplant2;JANSCHWALDE B;EnergySupply;23,47;25,61;37,5;37,5;
-91;FlexPowerplant2;NIEDERAUSSEM G;EnergySupply;23,47;25,61;23,25;23,25;
-91;FlexPowerplant2;JANSCHWALDE C;EnergySupply;23,52;25,61;37,5;37,5;
-91;FlexPowerplant2;NIEDERAUSSEM H;EnergySupply;23,82;25,61;23,25;23,25;
-91;FlexPowerplant2;IRSCHING 3;EnergySupplyMustRun;23,89;25,61;55;55;
-91;FlexPowerplant2;LICHTERFELDE 3;EnergySupplyMustRun;23,89;25,61;18,75;18,75;
-91;FlexPowerplant2;MITTELSBUREN GT 3;EnergySupplyMustRun;23,89;25,61;10;10;
-91;FlexPowerplant2;CHARLOTTENBURG GT 1;EnergySupplyMustRun;23,89;25,61;8,75;8,75;
-91;FlexPowerplant2;CHARLOTTENBURG GT 2;EnergySupplyMustRun;23,89;25,61;8,75;8,75;
-91;FlexPowerplant2;LAUSWARD E GT 2;EnergySupplyMustRun;23,89;25,61;7,75;7,75;
-91;FlexPowerplant2;LAUSWARD E GT 1;EnergySupplyMustRun;23,89;25,61;7,75;7,75;
-91;FlexPowerplant2;GERSTEINWERK G GT 1;EnergySupplyMustRun;23,89;25,61;7;7;
-91;FlexPowerplant2;BOXBERG P;EnergySupply;23,94;25,61;18,75;18,75;
-91;FlexPowerplant2;JANSCHWALDE A;EnergySupply;24,06;25,61;37,5;37,5;
-91;FlexPowerplant2;KLINGENBERG 4;EnergySupply;24,06;25,61;2,25;2,25;
-91;FlexPowerplant2;WEISWEILER H;EnergySupply;24,43;25,61;22,5;22,5;
-91;FlexPowerplant2;NEURATH D;EnergySupply;24,43;25,61;22,5;22,5;
-91;FlexPowerplant2;NEURATH E;EnergySupply;24,49;25,61;22,5;22,5;
-91;FlexPowerplant2;BOXBERG N;EnergySupply;24,55;25,61;18,75;18,75;
-91;FlexPowerplant2;HUNTORF CAES GT 4;EnergySupplyMustRun;24,62;25,61;9,25;9,25;
-91;FlexPowerplant2;HUNTORF CAES GT 3;EnergySupplyMustRun;24,62;25,61;9,25;9,25;
-91;FlexPowerplant2;HUNTORF CAES GT 2;EnergySupplyMustRun;24,62;25,61;9,25;9,25;
-91;FlexPowerplant2;HUNTORF CAES GT 1;EnergySupplyMustRun;24,62;25,61;9,25;9,25;
-91;FlexPowerplant2;NEURATH C;EnergySupply;25;25,61;11,25;11,25;
-91;FlexPowerplant2;NEURATH A;EnergySupply;25;25,61;11,25;11,25;
-91;FlexPowerplant2;NEURATH B;EnergySupply;25;25,61;11,25;11,25;
-91;FlexPowerplant2;WEISWEILER G;EnergySupply;25,07;25,61;40,5;40,5;
-91;FlexPowerplant2;NIEDERAUSSEM F;EnergySupply;25,61;25,61;24;24;
-91;FlexPowerplant2;NIEDERAUSSEM E;EnergySupply;25,61;25,61;23,5;3,25;
-91;FlexPowerplant2;FRIMMERSDORF Q;EnergySupply;25,61;25,61;22,5;0;
-91;FlexPowerplant2;GERSTEINWERK H GT 1;EnergySupplyMustRun;26,03;25,61;7;0;
-91;FlexPowerplant2;NIEDERAUSSEM C;EnergySupply;26,18;25,61;19,75;0;
-91;FlexPowerplant2;WEISWEILER E;EnergySupply;26,18;25,61;11,25;0;
-91;FlexPowerplant2;FRIMMERSDORF P;EnergySupply;26,25;25,61;11,25;0;
-91;FlexPowerplant2;WEISWEILER F;EnergySupply;26,25;25,61;11,25;0;
-91;FlexPowerplant2;NIEDERAUSSEM D;EnergySupply;26,25;25,61;11,25;0;
-91;FlexPowerplant2;NOSSENER 3;EnergySupply;26,25;25,61;1;0;
-91;FlexPowerplant2;NOSSENER 2;EnergySupply;26,25;25,61;1;0;
-91;FlexPowerplant2;NOSSENER 1;EnergySupply;26,25;25,61;1;0;
-91;FlexPowerplant2;FRIMMERSDORF M;EnergySupply;26,85;25,61;5,75;0;
-91;FlexPowerplant2;FRIMMERSDORF L;EnergySupply;26,85;25,61;5,75;0;
-91;FlexPowerplant2;OBERHAVEL 2;EnergySupply;26,85;25,61;3,75;0;
-91;FlexPowerplant2;FRIMMERSDORF O;EnergySupply;26,93;25,61;5,75;0;
-91;FlexPowerplant2;NIEDERAUSSEM B;EnergySupply;26,93;25,61;5,75;0;
-91;FlexPowerplant2;FRIMMERSDORF N;EnergySupply;26,93;25,61;5,75;0;
-91;FlexPowerplant2;NIEDERAUSSEM A;EnergySupply;26,93;25,61;5,75;0;
-91;FlexPowerplant2;MERKENICH (NORD) 3;EnergySupply;27,16;25,61;4,25;0;
-91;FlexPowerplant2;FRIMMERSDORF F;EnergySupply;27,64;25,61;5,75;0;
-91;FlexPowerplant2;FRIMMERSDORF E;EnergySupply;27,64;25,61;5,75;0;
-91;FlexPowerplant2;WEISWEILER D;EnergySupply;27,64;25,61;5,75;0;
-91;FlexPowerplant2;OBERHAVEL 1;EnergySupply;27,64;25,61;3,75;0;
-91;FlexPowerplant2;WEISWEILER C;EnergySupply;28,39;25,61;5,75;0;
-91;FlexPowerplant2;LICHTERFELDE 2;EnergySupplyMustRun;28,53;25,61;18,75;0;
-91;FlexPowerplant2;HASTEDT 14;EnergySupplyMustRun;28,53;25,61;18,75;0;
-91;FlexPowerplant2;MERKENICH (NORD) 2;EnergySupply;29,38;25,61;1,75;0;
-91;FlexPowerplant2;FREIMANN GT 2;EnergySupplyMustRun;30;25,61;10,25;0;
-91;FlexPowerplant2;FREIMANN GT 1;EnergySupplyMustRun;30;25,61;10,25;0;
-91;FlexPowerplant2;MOORBURG-A;EnergySupply;34,44;25,61;97,25;0;
-91;FlexPowerplant2;MOORBURG-B;EnergySupply;34,44;25,61;97,25;0;
-91;FlexPowerplant2;LUNEN-4 NO 1;EnergySupply;34,88;25,61;84,5;0;
-91;FlexPowerplant2;GKM 9;EnergySupply;35,25;25,61;102,5;0;
-91;FlexPowerplant2;WALSUM-10;EnergySupply;35,25;25,61;89;0;
-91;FlexPowerplant2;WESTFALEN-D;EnergySupply;35,32;25,61;92,25;0;
-91;FlexPowerplant2;RDK (KARLSRUHE) 8;EnergySupply;35,4;25,61;102,5;0;
-91;FlexPowerplant2;WESTFALEN-E;EnergySupply;35,4;25,61;92,25;0;
-91;FlexPowerplant2;WILHELMSHAVEN-C;EnergySupply;35,4;25,61;90;0;
-91;FlexPowerplant2;BREMEN-HAFEN 6;EnergySupply;35,4;25,61;37,25;0;
-91;FlexPowerplant2;GKM 6;EnergySupply;36,33;25,61;15,75;0;
-91;FlexPowerplant2;ROSTOCK 1;EnergySupply;36,97;25,61;31;0;
-91;FlexPowerplant2;ALTBACH-II NO 1;EnergySupply;37,31;25,61;39,25;0;
-91;FlexPowerplant2;WERNE (GERSTEIN K) 1;EnergySupply;37,99;25,61;37,75;0;
-91;FlexPowerplant2;ROMERBRUCKE 3;EnergySupply;37,99;25,61;4;0;
-91;FlexPowerplant2;STAUDINGER 5;EnergySupply;38,71;25,61;28,75;0;
-91;FlexPowerplant2;GKM 8;EnergySupply;38,71;25,61;27;0;
-91;FlexPowerplant2;MUNCHEN NORD 1;EnergySupply;38,71;25,61;22;0;
-91;FlexPowerplant2;TIEFSTACK ERSATZ 1;EnergySupply;38,71;25,61;10,25;0;
-91;FlexPowerplant2;WALSUM 09;EnergySupply;39,26;25,61;23;0;
-91;FlexPowerplant2;HKW OFFENBACH 1;EnergySupply;39,26;25,61;3,5;0;
-91;FlexPowerplant2;REUTER WEST B;EnergySupply;39,35;25,61;33,75;0;
-91;FlexPowerplant2;HERNE 4;EnergySupply;39,35;25,61;28,25;0;
-91;FlexPowerplant2;FENNE-C NO 1;EnergySupply;39,35;25,61;12;0;
-91;FlexPowerplant2;GKH HANNOVER 2;EnergySupply;39,35;25,61;8,5;0;
-91;FlexPowerplant2;GKH HANNOVER 1;EnergySupply;39,35;25,61;8,5;0;
-91;FlexPowerplant2;HASTEDT 15;EnergySupply;39,35;25,61;7,25;0;
-91;FlexPowerplant2;ELBERFELD 2;EnergySupply;39,35;25,61;5,75;0;
-91;FlexPowerplant2;HKW WEST 3;EnergySupply;39,35;25,61;4;0;
-91;FlexPowerplant2;HKW WEST 2;EnergySupply;39,35;25,61;4;0;
-91;FlexPowerplant2;PFORZHEIM-III NO 1;EnergySupply;39,35;25,61;1,75;0;
-91;FlexPowerplant2;MOABIT 3;EnergySupply;39,45;25,61;5,75;0;
-91;FlexPowerplant2;VOERDE B;EnergySupply;40,02;25,61;85,5;0;
-91;FlexPowerplant2;RDK (KARLSRUHE) 7;EnergySupply;40,02;25,61;62;0;
-91;FlexPowerplant2;IBBENBUREN-B NO 1;EnergySupply;40,02;25,61;45,5;0;
-91;FlexPowerplant2;HEILBRONN 7;EnergySupply;40,02;25,61;42,75;0;
-91;FlexPowerplant2;ZOLLING 5;EnergySupply;40,02;25,61;26,75;0;
-91;FlexPowerplant2;ALTBACH-I NO 5;EnergySupply;40,02;25,61;26;0;
-91;FlexPowerplant2;BUER 1;EnergySupply;40,02;25,61;4,5;0;
-91;FlexPowerplant2;HEYDEN 4;EnergySupply;40,22;25,61;51,25;0;
-91;FlexPowerplant2;ROMERBRUCKE 2;EnergySupply;40,22;25,61;6,25;0;
-91;FlexPowerplant2;VOERDE A;EnergySupply;40,82;25,61;85,5;0;
-91;FlexPowerplant2;GKM 7;EnergySupply;40,82;25,61;26,75;0;
-91;FlexPowerplant2;WERDOHL-ELVERLINGSEN E4;EnergySupply;40,82;25,61;17,75;0;
-91;FlexPowerplant2;FENNE-B NO 1;EnergySupply;40,82;25,61;11;0;
-91;FlexPowerplant2;SHAMROCK 3;EnergySupply;40,82;25,61;2;0;
-91;FlexPowerplant2;BEXBACH C 1;EnergySupply;40,92;25,61;43,5;0;
-91;FlexPowerplant2;SHAMROCK 4;EnergySupply;40,92;25,61;2;0;
-91;FlexPowerplant2;KARLSRUHE WEST 3;EnergySupply;41,02;25,61;2,25;0;
-91;FlexPowerplant2;FLENSBURG 11;EnergySupply;41,02;25,61;2,25;0;
-91;FlexPowerplant2;FLENSBURG 09;EnergySupply;41,02;25,61;2;0;
-91;FlexPowerplant2;KARLSRUHE WEST 2;EnergySupply;41,02;25,61;1,75;0;
-91;FlexPowerplant2;KARLSRUHE WEST 1;EnergySupply;41,02;25,61;1,75;0;
-91;FlexPowerplant2;KARLSRUHE WEST 4;EnergySupply;41,02;25,61;1;0;
-91;FlexPowerplant2;FLENSBURG 10;EnergySupply;41,23;25,61;2;0;
-91;FlexPowerplant2;MEHRUM 1;EnergySupply;41,64;25,61;42,25;0;
-91;FlexPowerplant2;SCHOLVEN F;EnergySupply;41,64;25,61;41,75;0;
-91;FlexPowerplant2;REUTER WEST A;EnergySupply;41,64;25,61;33,75;0;
-91;FlexPowerplant2;BERGKAMEN A;EnergySupply;41,86;25,61;87,5;0;
-91;FlexPowerplant2;MUNSTER NEUBAU 25;EnergySupply;41,86;25,61;4;0;
-91;FlexPowerplant2;WEIHER 3;EnergySupply;42,62;25,61;79,5;0;
-91;FlexPowerplant2;WILHELMSHAVEN A;EnergySupply;42,62;25,61;43,25;0;
-91;FlexPowerplant2;KASSEL SWEW 1;EnergySupply;42,95;25,61;2;0;
-91;FlexPowerplant2;ULM 3;EnergySupply;43,75;25,61;1;0;
-91;FlexPowerplant2;HOECHST 3;EnergySupply;44,11;25,61;3,5;0;
-91;FlexPowerplant2;HOECHST 2;EnergySupply;44,11;25,61;1;0;
-91;FlexPowerplant2;WEST (VOERDE) 1;EnergySupply;44,59;25,61;40;0;
-91;FlexPowerplant2;WEST (VOERDE) 2;EnergySupply;44,59;25,61;40;0;
-91;FlexPowerplant2;SCHOLVEN C;EnergySupply;44,59;25,61;20,75;0;
-91;FlexPowerplant2;SCHOLVEN E;EnergySupply;44,59;25,61;20,75;0;
-91;FlexPowerplant2;SCHOLVEN D;EnergySupply;44,59;25,61;20,75;0;
-91;FlexPowerplant2;KIEL-A;EnergySupply;44,59;25,61;20;0;
-91;FlexPowerplant2;LUNEN-2 NO 1;EnergySupply;44,59;25,61;19,75;0;
-91;FlexPowerplant2;FARGE 1;EnergySupply;44,59;25,61;19,75;0;
-91;FlexPowerplant2;WESTFALEN-C;EnergySupply;44,59;25,61;18;0;
-91;FlexPowerplant2;GKM 4;EnergySupply;44,59;25,61;12,5;0;
-91;FlexPowerplant2;SCHOLVEN B;EnergySupply;45,71;25,61;20,75;0;
-91;FlexPowerplant2;HERNE 3;EnergySupply;45,71;25,61;17;0;
-91;FlexPowerplant2;REUTER C;EnergySupply;45,71;25,61;14,75;0;
-91;FlexPowerplant2;BREMEN-HAFEN 5;EnergySupply;45,71;25,61;8;0;
-91;FlexPowerplant2;HEILBRONN 6;EnergySupply;45,71;25,61;7;0;
-91;FlexPowerplant2;WALHEIM 2;EnergySupply;45,71;25,61;5,75;0;
-91;FlexPowerplant2;WALHEIM 1;EnergySupply;46,89;25,61;9;0;
-91;FlexPowerplant2;HERNE 2;EnergySupply;46,89;25,61;8,5;0;
-91;FlexPowerplant2;HEILBRONN 5;EnergySupply;46,89;25,61;7;0;
-91;FlexPowerplant2;WEDEL 1 NEW;EnergySupply;48,14;25,61;8,5;0;
-91;FlexPowerplant2;LUNEN-1 NO 6;EnergySupply;48,14;25,61;8,5;0;
-91;FlexPowerplant2;WEDEL 2 NEW;EnergySupply;48,14;25,61;7,75;0;
-91;FlexPowerplant2;SHAMROCK 2;EnergySupply;49,46;25,61;1,5;0;
-91;FlexPowerplant2;WACHTBERG 1;EnergySupply;51,01;25,61;5;0;
-91;FlexPowerplant2;SHAMROCK 1;EnergySupply;51,01;25,61;1,5;0;
-91;FlexPowerplant2;BIELEFELD 4;EnergySupply;52,67;25,61;1,5;0;
-91;FlexPowerplant2;BIELEFELD 3;EnergySupply;52,67;25,61;1;0;
-91;FlexPowerplant2;BIELEFELD 2;EnergySupply;52,67;25,61;0,75;0;
-91;FlexPowerplant2;IRSCHING-5;EnergySupply;66,69;25,61;129;0;
-91;FlexPowerplant2;EMSLAND LINGEN-D;EnergySupply;67,22;25,61;127,5;0;
-91;FlexPowerplant2;IRSCHING-4 CCGT;EnergySupply;67,44;25,61;84,75;0;
-91;FlexPowerplant2;HKW SUD SAARBRUCKEN;EnergySupply;67,44;25,61;5,75;0;
-91;FlexPowerplant2;MITTELSBUREN CC 1;EnergySupply;68,54;25,61;66,75;0;
-91;FlexPowerplant2;MAINZ-III CC;EnergySupply;68,54;25,61;59,5;0;
-91;FlexPowerplant2;HAMM-UENTROP CC 1;EnergySupply;69,11;25,61;60;0;
-91;FlexPowerplant2;HAMM-UENTROP CC 2;EnergySupply;69,11;25,61;60;0;
-91;FlexPowerplant2;LEUNA REFINERY CC;EnergySupply;69,68;25,61;19,25;0;
-91;FlexPowerplant2;HKW NORD KARLSTRASSE CC;EnergySupply;69,68;25,61;14,25;0;
-91;FlexPowerplant2;LUDWIGSHAFEN KW SUD;EnergySupply;70,86;25,61;48,75;0;
-91;FlexPowerplant2;TIEFSTACK ERSATZ CC;EnergySupply;71,35;25,61;23,5;0;
-91;FlexPowerplant2;HOECHST BUSINESS PARK;EnergySupply;72,09;25,61;30;0;
-91;FlexPowerplant2;HERDECKE CUNO CC;EnergySupply;72,34;25,61;62,5;0;
-91;FlexPowerplant2;MUNCHEN SUD-7;EnergySupply;73,36;25,61;64;0;
-91;FlexPowerplant2;NIEHL-2;EnergySupply;73,36;25,61;60,75;0;
-91;FlexPowerplant2;DUISBURG-WANHEIM-B;EnergySupply;73,36;25,61;34,5;0;
-91;FlexPowerplant2;HAFEN MUNSTER CC;EnergySupply;73,36;25,61;15;0;
-91;FlexPowerplant2;LAUSWARD A CC;EnergySupply;73,36;25,61;13,5;0;
-91;FlexPowerplant2;BARMEN-I 1RP;EnergySupply;73,36;25,61;13,25;0;
-91;FlexPowerplant2;HKW NIEDERRAD-2;EnergySupply;73,36;25,61;11,25;0;
-91;FlexPowerplant2;ROMERBRUCKE;EnergySupply;73,36;25,61;9,25;0;
-91;FlexPowerplant2;DIESELSTRASSE CC-2;EnergySupply;73,36;25,61;5,75;0;
-91;FlexPowerplant2;MITSUBISHI HITEC;EnergySupply;73,36;25,61;5,75;0;
-91;FlexPowerplant2;DIESELSTRASSE CC-1;EnergySupply;73,36;25,61;5,75;0;
-91;FlexPowerplant2;ERLANGEN CC;EnergySupply;73,36;25,61;4,5;0;
-91;FlexPowerplant2;GKH LINDEN CC;EnergySupply;74,68;25,61;36,25;0;
-91;FlexPowerplant2;HALLE-TROTHA;EnergySupply;75,36;25,61;8;0;
-91;FlexPowerplant2;DORMAGEN RWE;EnergySupply;75,63;25,61;87;0;
-91;FlexPowerplant2;SANDREUTH 2;EnergySupply;76,05;25,61;11,25;0;
-91;FlexPowerplant2;SANDREUTH 1;EnergySupply;76,05;25,61;11,25;0;
-91;FlexPowerplant2;GROSSKAYNA GT 2;EnergySupplyMustRun;76,28;25,61;4,75;0;
-91;FlexPowerplant2;GROSSKAYNA GT 1;EnergySupplyMustRun;76,28;25,61;4,75;0;
-91;FlexPowerplant2;GROSSKAYNA GT 3;EnergySupplyMustRun;76,28;25,61;4,75;0;
-91;FlexPowerplant2;MARIENEHE 1;EnergySupplyMustRun;77,37;25,61;7,5;0;
-91;FlexPowerplant2;MARBACH 3 GT 1;EnergySupplyMustRun;77,37;25,61;7,5;0;
-91;FlexPowerplant2;FLENSBURG 12;EnergySupply;77,47;25,61;11;0;
-91;FlexPowerplant2;ERFURT-OST;EnergySupply;78,05;25,61;17,5;0;
-91;FlexPowerplant2;BITTERFELD ENVIA;EnergySupply;78,2;25,61;17;0;
-91;FlexPowerplant2;MERKENICH (NORD) CC;EnergySupply;78,2;25,61;16,5;0;
-91;FlexPowerplant2;RDK (KARLSRUHE) 4RP;EnergySupply;79,4;25,61;56,75;0;
-91;FlexPowerplant2;NEUBRANDENBURG GUD;EnergySupply;80,65;25,61;11,25;0;
-91;FlexPowerplant2;GERA NORD NEW-1;EnergySupply;80,65;25,61;5,5;0;
-91;FlexPowerplant2;GERA NORD NEW-2;EnergySupply;80,65;25,61;5,5;0;
-91;FlexPowerplant2;MITTE BERLIN CC;EnergySupply;80,8;25,61;58;0;
-91;FlexPowerplant2;NOSSENER BRUECKE;EnergySupply;82,09;25,61;40,25;0;
-91;FlexPowerplant2;JENA SUD;EnergySupply;82,09;25,61;29,25;0;
-91;FlexPowerplant2;FREIBURG WVK GT 1;EnergySupply;82,09;25,61;5,75;0;
-91;FlexPowerplant2;ROSTOCK-MARIENEHE CC-1;EnergySupply;82,09;25,61;5,5;0;
-91;FlexPowerplant2;ROSTOCK-MARIENEHE CC-3;EnergySupply;82,09;25,61;5,5;0;
-91;FlexPowerplant2;ROSTOCK-MARIENEHE CC-2;EnergySupply;82,09;25,61;5,5;0;
-91;FlexPowerplant2;LEIPZIG GUD;EnergySupply;83,59;25,61;25,75;0;
-91;FlexPowerplant2;KIRCHMOSER;EnergySupply;83,59;25,61;24,75;0;
-91;FlexPowerplant2;SCHWERIN-SUD;EnergySupply;83,59;25,61;10,5;0;
-91;FlexPowerplant2;LANKOW;EnergySupply;83,59;25,61;3,5;0;
-91;FlexPowerplant2;HEIZKRAFTWERK POTSDAM SUD;EnergySupply;83,76;25,61;12,25;0;
-91;FlexPowerplant2;BARMEN-II;EnergySupplyMustRun;84,66;25,61;14;0;
-91;FlexPowerplant2;EMSLAND LINGEN-C;EnergySupply;85,51;25,61;72,25;0;
-91;FlexPowerplant2;EMSLAND LINGEN-B;EnergySupply;85,51;25,61;72,25;0;
-91;FlexPowerplant2;SUDSTADT;EnergySupply;87,33;25,61;5;0;
-91;FlexPowerplant2;HILTROP CC;EnergySupply;91,23;25,61;6,5;0;
-91;FlexPowerplant2;WALHEIM GT 1;EnergySupplyMustRun;91,49;25,61;15;0;
-91;FlexPowerplant2;PEISSENBERG 1;EnergySupplyMustRun;91,49;25,61;5,5;0;
-91;FlexPowerplant2;KASSEL KOMBI-1;EnergySupply;92,05;25,61;3,25;0;
-91;FlexPowerplant2;BHKW KEMPTEN GT 1;EnergySupplyMustRun;92,99;25,61;3,75;0;
-91;FlexPowerplant2;FENNE-B GT 1;EnergySupplyMustRun;94,82;25,61;4,5;0;
-91;FlexPowerplant2;BIELEFELD GT 2;EnergySupplyMustRun;97,34;25,61;3;0;
-91;FlexPowerplant2;KIRCHLENGERN;EnergySupply;97,81;25,61;24,25;0;
-91;FlexPowerplant2;FRANKFURT ODER;EnergySupply;97,81;25,61;11,75;0;
-91;FlexPowerplant2;DESSAU GT 1;EnergySupply;97,81;25,61;3,5;0;
-91;FlexPowerplant2;HAGEN-KABEL;EnergySupply;100,23;25,61;33;0;
-91;FlexPowerplant2;MUNCHEN SUD-6;EnergySupply;102,25;25,61;49,75;0;
-91;FlexPowerplant2;FRIEDENSBRUCKE CC-1;EnergySupply;102,77;25,61;10,75;0;
-91;FlexPowerplant2;FRIEDENSBRUCKE CC-2;EnergySupply;102,77;25,61;8,25;0;
-91;FlexPowerplant2;KASSEL KOMBI-2;EnergySupply;102,77;25,61;4,25;0;
-91;FlexPowerplant2;INGOLSTADT 3;EnergySupplyMustRun;103,53;25,61;50;0;
-91;FlexPowerplant2;INGOLSTADT 4;EnergySupplyMustRun;103,53;25,61;50;0;
-91;FlexPowerplant2;WERDOHL-ELVERLINGSEN 1;EnergySupplyMustRun;103,53;25,61;12,25;0;
-91;FlexPowerplant2;BRUNSBUTTEL VATTENFALL GT 3;EnergySupplyMustRun;103,53;25,61;7,75;0;
-91;FlexPowerplant2;BRUNSBUTTEL VATTENFALL GT 4;EnergySupplyMustRun;103,53;25,61;7,75;0;
-91;FlexPowerplant2;BRUNSBUTTEL VATTENFALL GT 2;EnergySupplyMustRun;103,53;25,61;7,75;0;
-91;FlexPowerplant2;BRUNSBUTTEL VATTENFALL GT 1;EnergySupplyMustRun;103,53;25,61;7,75;0;
-91;FlexPowerplant2;CHARLOTTENBURG GT 3;EnergySupplyMustRun;103,53;25,61;7,5;0;
-91;FlexPowerplant2;WILHELMSHAVEN GT 1;EnergySupplyMustRun;103,53;25,61;7;0;
-91;FlexPowerplant2;MARBACH 3;EnergySupplyMustRun;103,96;25,61;34,5;0;
-91;FlexPowerplant2;WILMERSDORF GT 3;EnergySupplyMustRun;104,24;25,61;13,75;0;
-91;FlexPowerplant2;WILMERSDORF GT 2;EnergySupplyMustRun;104,24;25,61;13,75;0;
-91;FlexPowerplant2;WILMERSDORF GT 1;EnergySupplyMustRun;104,24;25,61;13,75;0;
-91;FlexPowerplant2;WERDOHL-ELVERLINGSEN 2;EnergySupplyMustRun;105,35;25,61;13,5;0;
-91;FlexPowerplant2;FRANKEN-I GT 1;EnergySupplyMustRun;105,75;25,61;6,75;0;
-91;FlexPowerplant2;BOCHUM 3R;EnergySupply;106,99;25,61;3,75;0;
-91;FlexPowerplant2;ZOLLING GT 2;EnergySupplyMustRun;108,85;25,61;3,25;0;
-91;FlexPowerplant2;ZOLLING GT 1;EnergySupplyMustRun;108,85;25,61;3,25;0;
-91;FlexPowerplant2;GERSTEINWERK G;EnergySupply;109,46;25,61;45,5;0;
-91;FlexPowerplant2;MAINZ-II GT 1R;EnergySupply;109,46;25,61;16,5;0;
-91;FlexPowerplant2;LICHTERFELDE 1;EnergySupplyMustRun;110,85;25,61;18,75;0;
-91;FlexPowerplant2;ALTBACH-I NO 5 GT 1;EnergySupplyMustRun;110,85;25,61;6,25;0;
-91;FlexPowerplant2;AUDORF GT 2;EnergySupplyMustRun;111,03;25,61;2;0;
-91;FlexPowerplant2;AUDORF GT 3;EnergySupplyMustRun;111,03;25,61;2;0;
-91;FlexPowerplant2;AUDORF GT 6;EnergySupplyMustRun;111,03;25,61;2;0;
-91;FlexPowerplant2;AUDORF GT 1;EnergySupplyMustRun;111,03;25,61;2;0;
-91;FlexPowerplant2;AUDORF GT 4;EnergySupplyMustRun;111,03;25,61;2;0;
-91;FlexPowerplant2;AUDORF GT 5;EnergySupplyMustRun;111,03;25,61;2;0;
-91;FlexPowerplant2;ALTBACH-I GT 3;EnergySupplyMustRun;112,07;25,61;12,25;0;
-91;FlexPowerplant2;MOABIT GT 1;EnergySupplyMustRun;112,34;25,61;2,25;0;
